"WeekDate","Site","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0","Md","Zc","Me","Kg","Gg","Mb","Pm","Mm","Gm","Dd"
2016-10-30,"NFC",0.531874288571429,64.6659604428571,-0.0574595251428571,-0.592601128571429,18.714722,18.65346,17.7615014285714,16.2150117142857,34.7625671428571,34.7812728571429,34.9577557142857,35.4090014285714,0.250572178285714,180.712330657143,117.326836285714,265.56901,0,0,0,2,34,7,76,1,256,545
2016-11-06,"NFC",0.716626761428571,583.1799407,-0.0754340672857143,-0.618514614285714,18.2808705714286,18.2835657142857,17.9025755714286,16.6114414285714,34.8100871428571,34.8126128571429,34.8849371428571,35.27749,0.461547013,194.586971085714,99.6327641428571,230.479438142857,0,0,0,1,16,7,81,2,219,605
2016-11-13,"NFC",0.451608522857143,206.271391628571,-0.068289709,-0.646128542857143,18.5700414285714,18.489476,18.1639377142857,17.7271844285714,35.1428057142857,35.1433357142857,35.1775157142857,35.5635814285714,0.316660080714286,197.035259514286,85.2057294285714,286.128555285714,0,1,0,2,17,4,71,11,165,620
2016-11-20,"NFC",0.356129114285714,131.876991657143,-0.116819438857143,-0.6566836,17.3691405714286,17.3528661428571,17.29752,16.8656901428571,35.25351,35.2551985714286,35.2647142857143,35.3501971428571,0.221814011285714,253.207868828571,60.2061178571429,336.669797285714,0,1,0,3,2,2,118,2,211,703
2016-11-27,"NFC",0.422164372857143,112.3712228,-0.0709720212857143,-0.691330885714286,16.9423261428571,16.900128,16.5734555714286,15.8691845714286,34.8091485714286,34.8105514285714,34.8413428571429,35.1503385714286,0.311059469857143,212.223840871429,54.605131,223.147694285714,0,0,0,2,6,0,31,4,156,513
2016-12-04,"NFC",0.317533518571429,896.1347738,-0.0957074822857143,-0.6339473,15.488612,15.4804731428571,15.3810744285714,15.1911915714286,34.8309357142857,34.8324971428571,34.8441085714286,35.0284414285714,0.448745394428571,198.450564742857,55.6830801428571,253.904154428571,0,0,0,3,16,0,30,2,156,566
2016-12-11,"NFC",0.274292207142857,286.881279171429,-0.0601153727142857,-0.674858528571429,15.3481757142857,15.3613994285714,15.3179884285714,15.4214272857143,35.0101885714286,35.01189,35.0186442857143,35.1330385714286,0.328460774571429,182.207531228571,68.4524634285714,238.068314,0,0,0,2,20,7,26,0,143,454
2016-12-18,"NFC",0.307404112857143,238.855678642857,-0.0442802207142857,-0.668275928571429,15.5457792857143,15.5284307142857,15.4636092857143,15.1564978571429,34.8321357142857,34.8337228571429,34.8582085714286,35.1401,0.318600734285714,168.4962791,114.090401714286,267.856090714286,0,2,0,3,23,0,55,0,37,798
2016-12-25,"NFC",0.284262118571429,242.205217614286,-0.0634507941428571,-0.6581426,14.9500751428571,14.936569,14.8864788571429,15.2034145714286,34.5873442857143,34.5894228571429,34.62063,35.1026585714286,0.306971564714286,179.967432757143,194.424156,253.050974714286,0,0,0,0,12,0,25,1,207,720
2017-01-01,"NFC",0.302409541428571,93.0483779428571,-0.0554403484285714,-0.617263785714286,15.3080057142857,15.3266095714286,15.2353785714286,15.2326085714286,34.7375671428571,34.7412514285714,34.7558,35.10085,0.201015664428571,193.833541185714,277.571605142857,375.232298714286,0,0,0,2,35,3,46,0,28,688
2017-01-08,"NFC",0.284735535714286,100.511897542857,-0.0636087578571429,-0.622635714285714,14.6825628571429,14.6594075714286,14.5385324285714,14.3743824285714,35.06465,35.0625128571429,35.0628957142857,35.14839,0.206598201571429,140.043104042857,216.062030571429,265.500354142857,0,0,0,0,44,1,73,0,109,670
2017-01-15,"NFC",0.324999237142857,389.567600685714,-0.0157509605714286,-0.696043828571429,14.0798558571429,14.0109835714286,13.932711,13.9913867142857,35.0666757142857,35.0687428571429,35.0975914285714,35.29308,0.157435671857143,208.3838589,115.997364714286,217.594976142857,0,0,0,2,41,0,38,6,49,730
2017-01-22,"NFC",0.357241318571429,90.4175369142857,-0.0209587111428571,-0.688651928571429,14.7032881428571,14.6608628571429,14.4487694285714,14.1145867142857,35.1531471428571,35.15303,35.1593771428571,35.2862957142857,0.293876104571429,177.819389514286,147.324083571429,251.681962142857,0,0,0,0,27,0,12,8,86,900
2017-01-29,"NFC",0.365883372857143,355.503528642857,-0.0806595918571429,-0.706984642857143,13.7958144285714,13.7743688571429,13.7350267142857,13.8128718571429,35.2077771428571,35.2096071428571,35.2235085714286,35.3279185714286,0.181731543285714,163.422036471429,108.871371857143,267.427143,0,1,0,2,35,9,40,3,29,798
2017-02-05,"NFC",0.338607631428571,351.570960442857,-0.0532929835714286,-0.728718971428571,13.4509571428571,13.4305078571429,13.3852718571429,13.4036848571429,35.1310828571429,35.1365214285714,35.17491,35.2672471428571,0.304054026714286,64.7842316571429,164.902736142857,298.597943142857,0,0,0,1,36,2,50,1,73,600
2017-02-12,"NFC",0.359961907142857,58.6497471857143,-0.0392027727142857,-0.750657385714286,13.0510567142857,13.0507252857143,13.0214891428571,13.0079055714286,35.11077,35.1112657142857,35.1162871428571,35.1647171428571,0.243078793857143,177.692571242857,150.953429857143,377.021869571429,0,3,0,1,70,5,91,2,65,759
2017-02-19,"NFC",0.538145492857143,109.7325111,-0.0779129168571429,-0.711398642857143,13.6429252857143,13.4903647142857,13.2865162857143,13.3229462857143,35.0489914285714,35.0558585714286,35.09252,35.2359642857143,0.232776004285714,182.159910614286,180.586291857143,377.490054857143,0,3,0,1,46,2,126,5,44,712
2017-02-26,"NFC",1.09859220142857,127.043695457143,-0.068597577,-0.694635114285714,13.3994967142857,13.3634831428571,13.3350832857143,13.4131708571429,35.1442328571429,35.1467657142857,35.1625828571429,35.3358642857143,0.212656803857143,121.309959,154.480343571429,216.259090857143,0,3,0,0,45,3,207,0,40,966
2017-03-05,"NFC",0.640383887142857,587.626597214286,-0.0959087281428571,-0.768188571428571,12.254678,12.2758515714286,12.360309,12.5883322857143,35.4320342857143,35.4418557142857,35.4693642857143,35.5591071428571,0.292769180428571,167.452149457143,169.155177285714,272.385955285714,0,3,0,1,76,1,271,0,52,809
2017-03-12,"NFC",0.487088792857143,602.360201214286,-0.0663458667142857,-0.837766142857143,13.5190641428571,13.5656774285714,13.5990345714286,13.5299274285714,35.9081442857143,35.9076028571429,35.9081785714286,35.9160757142857,0.253280369571429,215.693422214286,107.570383285714,290.711756857143,0,2,0,0,109,12,221,0,80,974
2017-03-19,"NFC",0.473520074285714,377.353567628571,-0.0659756587142857,-0.803276157142857,13.0180732857143,12.8834084285714,12.228605,11.9627501428571,35.6900814285714,35.6816614285714,35.5963828571429,35.5564942857143,0.293786537857143,230.139298742857,103.583932142857,318.266667428571,0,2,0,2,155,10,140,1,12,981
2017-03-26,"NFC",0.538342287142857,828.2407045,-0.09397527,-0.769805842857143,14.3571525714286,14.2464021428571,13.8463715714286,13.1905088571429,35.8603585714286,35.84122,35.77572,35.6638557142857,0.296820916571429,138.378904257143,102.09494,180.934619285714,0,0,0,3,181,7,85,3,22,970
2017-04-02,"NFC",1.18886415,317.308792642857,-0.0755714355714286,-0.760649814285714,11.0055231428571,10.8530782857143,10.7301244285714,11.1760385714286,34.2879857142857,34.32905,34.5283614285714,34.9818185714286,0.486141924285714,185.270709742857,177.912721285714,176.583045714286,0,0,0,1,147,3,136,1,41,999
2017-04-09,"NFC",1.08225585285714,51.8361225142857,-0.0730173772857143,-0.745457442857143,11.0808815714286,11.1817311428571,11.2754824285714,11.7196754285714,34.4137528571429,34.5299,34.8275814285714,35.2304914285714,0.184781072428571,195.172012142857,92.2177527142857,222.179687714286,0,3,0,2,82,8,188,1,2,1071
2017-04-16,"NFC",1.05489153857143,143.018107914286,-0.129971268571429,-0.7042192,12.3427324285714,11.6620517142857,11.4923974285714,12.078566,34.0230828571429,34.1618414285714,34.6068685714286,35.0553314285714,0.283560759,223.234208757143,74.3565857142857,225.038157857143,0,0,0,4,87,1,235,0,5,1116
2017-04-23,"NFC",0.691349034285714,200.258834814286,-0.109615634,-0.682218557142857,14.3137157142857,13.101652,12.922044,13.3537454285714,34.0276,34.3837628571429,34.9331414285714,35.3261871428571,0.283978442714286,196.809578742857,97.5262217142857,240.493186,0,0,0,1,107,8,120,0,12,1127
2017-04-30,"NFC",0.583969087142857,317.957079142857,-0.0643922205714286,-0.718428342857143,16.9492234285714,16.2504014285714,13.8466692857143,13.4145871428571,34.2287085714286,34.4163628571429,34.9593371428571,35.2569928571429,0.372291444428571,179.089297457143,159.666117285714,292.702253857143,0,1,0,1,126,6,112,0,34,838
